<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170213;190000;140.6500000;141.2000000;140.2000000;141.2000000
GAZP;60;20170214;110000;141.2700000;141.4900000;140.6000000;141.3100000
GAZP;60;20170214;120000;141.2600000;141.3000000;140.0000000;140.1100000
GAZP;60;20170214;130000;140.1100000;140.4900000;139.8500000;140.1600000
GAZP;60;20170214;140000;140.1700000;140.8600000;140.0200000;140.4700000
GAZP;60;20170214;150000;140.4900000;140.6700000;139.9000000;140.4300000
GAZP;60;20170214;160000;140.4000000;140.5000000;140.0200000;140.1100000
GAZP;60;20170214;170000;140.1700000;140.4900000;140.0500000;140.2000000
GAZP;60;20170214;180000;140.2000000;141.4200000;140.1400000;141.0800000
GAZP;60;20170214;190000;141.0800000;141.1900000;140.0200000;140.6200000
GAZP;60;20170215;110000;140.4500000;140.4900000;139.2700000;139.3300000
GAZP;60;20170215;120000;139.3900000;140.0600000;138.9200000;140.0000000
GAZP;60;20170215;130000;140.0100000;141.2000000;139.9300000;141.1800000
GAZP;60;20170215;140000;141.1800000;141.5000000;140.5300000;140.7000000
GAZP;60;20170215;150000;140.7500000;141.1500000;140.2100000;140.7100000
GAZP;60;20170215;160000;140.7700000;141.2600000;140.2500000;140.8700000
GAZP;60;20170215;170000;140.8500000;141.1500000;140.2300000;140.3400000
GAZP;60;20170215;180000;140.3300000;140.4500000;139.9100000;140.1900000
GAZP;60;20170215;190000;140.1400000;140.1700000;139.2000000;139.7200000
GAZP;60;20170216;110000;139.9300000;140.3000000;139.1500000;140.2200000
GAZP;60;20170216;120000;140.2200000;140.2200000;139.0100000;139.0700000
GAZP;60;20170216;130000;139.0200000;139.2300000;138.6200000;138.8200000
GAZP;60;20170216;140000;138.8100000;139.1000000;138.2300000;138.4500000
GAZP;60;20170216;150000;138.4500000;138.7900000;138.2800000;138.4800000
GAZP;60;20170216;160000;138.4800000;138.5200000;138.0100000;138.3000000
GAZP;60;20170216;170000;138.3000000;138.8200000;138.1300000;138.6200000
GAZP;60;20170216;180000;138.6000000;138.8100000;138.3200000;138.8000000
GAZP;60;20170216;190000;138.8100000;139.3300000;138.7300000;139.1600000
GAZP;60;20170217;110000;139.2600000;139.3900000;138.8300000;138.9200000
GAZP;60;20170217;120000;138.9600000;139.4200000;137.3500000;137.6300000
GAZP;60;20170217;130000;137.6800000;138.0900000;137.2300000;137.8900000
GAZP;60;20170217;140000;137.8900000;138.4400000;137.5100000;138.3900000
GAZP;60;20170217;150000;138.3900000;138.7400000;138.0000000;138.7000000
GAZP;60;20170217;160000;138.7100000;138.9500000;138.3100000;138.6300000
GAZP;60;20170217;170000;138.6300000;139.1100000;138.2100000;138.5600000
GAZP;60;20170217;180000;138.5400000;138.7200000;137.9100000;138.1000000
GAZP;60;20170217;190000;138.0900000;138.6100000;138.0500000;138.1200000
GAZP;60;20170220;110000;138.5900000;139.2400000;138.1800000;138.1800000
GAZP;60;20170220;120000;138.1700000;138.5600000;137.4000000;138.3700000
GAZP;60;20170220;130000;138.3800000;138.8700000;138.1300000;138.6500000
GAZP;60;20170220;140000;138.6000000;139.8300000;138.5200000;139.6100000
GAZP;60;20170220;150000;139.6500000;139.8500000;139.1100000;139.8400000
GAZP;60;20170220;160000;139.8500000;140.1300000;139.0500000;139.2900000
GAZP;60;20170220;170000;139.2900000;139.4500000;138.9200000;139.1700000
GAZP;60;20170220;180000;139.1800000;139.3800000;138.2500000;138.3600000
GAZP;60;20170220;190000;138.3200000;138.9000000;138.2500000;138.5000000
GAZP;60;20170221;110000;138.6000000;139.3200000;138.5300000;138.9300000
GAZP;60;20170221;120000;138.9500000;139.5600000;138.3100000;139.1400000
GAZP;60;20170221;130000;139.1300000;139.6000000;139.0900000;139.4200000
GAZP;60;20170221;140000;139.3900000;139.6000000;139.0500000;139.0700000
GAZP;60;20170221;150000;139.1200000;139.1900000;138.7400000;138.9300000
GAZP;60;20170221;160000;138.8900000;139.2000000;138.5200000;138.5200000
GAZP;60;20170221;170000;138.5500000;138.8700000;138.2700000;138.7900000
GAZP;60;20170221;180000;138.8200000;138.8500000;138.4100000;138.5800000
GAZP;60;20170221;190000;138.5500000;138.5500000;138.0000000;138.3500000
GAZP;60;20170222;110000;138.6300000;138.7100000;137.7000000;138.5400000
GAZP;60;20170222;120000;138.5500000;138.7800000;137.5500000;137.7900000
GAZP;60;20170222;130000;137.7900000;137.9400000;137.1100000;137.3600000
GAZP;60;20170222;140000;137.3500000;137.4800000;137.1700000;137.3500000
GAZP;60;20170222;150000;137.3500000;137.4800000;136.8000000;136.9300000
GAZP;60;20170222;160000;136.9200000;136.9200000;136.2800000;136.4300000
GAZP;60;20170222;170000;136.4100000;136.7800000;136.0500000;136.3100000
GAZP;60;20170222;180000;136.2900000;136.7000000;136.1600000;136.3500000
