<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20180129;130000;146.7800000;147.2400000;146.0500000;146.4700000
GAZP;60;20180129;140000;146.4200000;147.2900000;146.4200000;146.9000000
GAZP;60;20180129;150000;146.9100000;147.0300000;145.8100000;145.8900000
GAZP;60;20180129;160000;145.8900000;146.0100000;145.3000000;145.4200000
GAZP;60;20180129;170000;145.3900000;145.5000000;145.0900000;145.3100000
GAZP;60;20180129;180000;145.3200000;145.3400000;144.7000000;144.8000000
GAZP;60;20180129;190000;144.8500000;145.1100000;144.1500000;144.7500000
GAZP;60;20180130;110000;144.0000000;144.1500000;142.5000000;142.8200000
GAZP;60;20180130;120000;142.8300000;144.5500000;142.3700000;143.8000000
GAZP;60;20180130;130000;143.8200000;146.4300000;143.7600000;145.4700000
GAZP;60;20180130;140000;145.3900000;145.7700000;145.0000000;145.4400000
GAZP;60;20180130;150000;145.4900000;146.3600000;145.1200000;145.3000000
GAZP;60;20180130;160000;145.2500000;145.4000000;143.8700000;144.9000000
GAZP;60;20180130;170000;144.9400000;145.7400000;144.1000000;144.1700000
GAZP;60;20180130;180000;144.1700000;144.5500000;143.4600000;143.8200000
GAZP;60;20180130;190000;143.8200000;143.9900000;143.0000000;143.5000000
GAZP;60;20180131;110000;142.9800000;143.7700000;142.0900000;142.7600000
GAZP;60;20180131;120000;142.7200000;142.9500000;141.8000000;142.1700000
GAZP;60;20180131;130000;142.1100000;143.4200000;142.0500000;143.3600000
GAZP;60;20180131;140000;143.3800000;143.6900000;142.2300000;142.3500000
GAZP;60;20180131;150000;142.3700000;142.9200000;142.1900000;142.4900000
GAZP;60;20180131;160000;142.5200000;143.2000000;142.4900000;142.9500000
GAZP;60;20180131;170000;142.9400000;144.5000000;142.6800000;144.4600000
GAZP;60;20180131;180000;144.4600000;144.5000000;143.4100000;143.6900000
GAZP;60;20180131;190000;143.7000000;143.8100000;142.4900000;143.3600000
GAZP;60;20180201;110000;143.4300000;144.0500000;143.1300000;143.4900000
GAZP;60;20180201;120000;143.5000000;145.5000000;143.3000000;145.3700000
GAZP;60;20180201;130000;145.3900000;146.1700000;145.0200000;145.1000000
GAZP;60;20180201;140000;145.1100000;145.9700000;144.9000000;145.2800000
GAZP;60;20180201;150000;145.3200000;145.9100000;144.9500000;145.1500000
GAZP;60;20180201;160000;145.1100000;145.1300000;144.0300000;144.3500000
GAZP;60;20180201;170000;144.3900000;144.6700000;143.2000000;143.9800000
GAZP;60;20180201;180000;143.9800000;145.3000000;143.9400000;144.9900000
GAZP;60;20180201;190000;145.0000000;145.3900000;144.6800000;145.3900000
GAZP;60;20180202;110000;145.6800000;146.6300000;144.6700000;145.9900000
GAZP;60;20180202;120000;146.0000000;146.7800000;145.3700000;146.3800000
GAZP;60;20180202;130000;146.4100000;146.5400000;144.5200000;144.8400000
GAZP;60;20180202;140000;144.8600000;145.0900000;144.5500000;144.6400000
GAZP;60;20180202;150000;144.6500000;144.9700000;143.5600000;144.3900000
GAZP;60;20180202;160000;144.3900000;144.7200000;143.9700000;144.0100000
GAZP;60;20180202;170000;144.0300000;144.8000000;144.0000000;144.5500000
GAZP;60;20180202;180000;144.5500000;145.2000000;144.1000000;144.1300000
GAZP;60;20180202;190000;144.1100000;144.1700000;142.8800000;144.0000000
GAZP;60;20180205;110000;142.8700000;143.8200000;142.3000000;143.7700000
GAZP;60;20180205;120000;143.7100000;143.7400000;143.0200000;143.4200000
GAZP;60;20180205;130000;143.4500000;145.2000000;143.4000000;145.0500000
GAZP;60;20180205;140000;145.0500000;145.2000000;144.1300000;144.3700000
GAZP;60;20180205;150000;144.3700000;144.6200000;144.0000000;144.4000000
GAZP;60;20180205;160000;144.4000000;144.4400000;143.4700000;144.0500000
GAZP;60;20180205;170000;144.0400000;145.0000000;143.6000000;144.8800000
GAZP;60;20180205;180000;144.8800000;144.9000000;144.0900000;144.2900000
GAZP;60;20180205;190000;144.2900000;144.8700000;144.2300000;144.5300000
GAZP;60;20180206;110000;141.7300000;142.3000000;140.4000000;141.9300000
GAZP;60;20180206;120000;141.9100000;142.4000000;141.2000000;142.0100000
GAZP;60;20180206;130000;142.0100000;142.8200000;141.8300000;142.4500000
GAZP;60;20180206;140000;142.4400000;142.4700000;141.9000000;142.0200000
GAZP;60;20180206;150000;142.1000000;142.1400000;141.3700000;141.5600000
GAZP;60;20180206;160000;141.5200000;142.4500000;141.3700000;142.3300000
GAZP;60;20180206;170000;142.3800000;142.4000000;141.8000000;141.9600000
GAZP;60;20180206;180000;141.9500000;142.6000000;141.2200000;142.0500000
GAZP;60;20180206;190000;142.0500000;142.6000000;141.5900000;141.5900000
GAZP;60;20180207;110000;142.4500000;143.3900000;142.4300000;142.8900000
GAZP;60;20180207;120000;142.9300000;142.9600000;141.8900000;142.2000000
GAZP;60;20180207;130000;142.1400000;142.8300000;141.7000000;142.1800000
GAZP;60;20180207;140000;142.1700000;142.8800000;142.1300000;142.6800000
GAZP;60;20180207;150000;142.6500000;142.8400000;142.2700000;142.4500000
GAZP;60;20180207;160000;142.4500000;142.5900000;141.8600000;142.0200000
GAZP;60;20180207;170000;142.0200000;142.3500000;141.8100000;142.0100000
GAZP;60;20180207;180000;142.0100000;142.2200000;141.6100000;141.9200000
GAZP;60;20180207;190000;141.9500000;141.9500000;141.0000000;141.0000000
GAZP;60;20180208;110000;140.4700000;140.5000000;138.8000000;139.5500000
GAZP;60;20180208;120000;139.5400000;140.5000000;139.2000000;139.6100000
GAZP;60;20180208;130000;139.6100000;140.8500000;139.4000000;140.5100000
GAZP;60;20180208;140000;140.5200000;140.6600000;139.8900000;140.2200000
GAZP;60;20180208;150000;140.2200000;140.2300000;139.1000000;139.3200000
GAZP;60;20180208;160000;139.2600000;139.4500000;138.8400000;139.0800000
GAZP;60;20180208;170000;139.0800000;139.4200000;138.2800000;139.1700000
GAZP;60;20180208;180000;139.1200000;139.1300000;137.8300000;137.9800000
GAZP;60;20180208;190000;137.9000000;138.3900000;137.1400000;137.2000000
GAZP;60;20180209;110000;135.9900000;136.5000000;135.4100000;136.2600000
GAZP;60;20180209;120000;136.3000000;136.4000000;134.6000000;135.4100000
GAZP;60;20180209;130000;135.4100000;135.5400000;134.5500000;134.7700000
GAZP;60;20180209;140000;134.7800000;134.9500000;134.1000000;134.4300000
GAZP;60;20180209;150000;134.4300000;134.5700000;132.8000000;133.0100000
GAZP;60;20180209;160000;133.0900000;133.6800000;133.0000000;133.2300000
GAZP;60;20180209;170000;133.1700000;134.7900000;133.0600000;134.6400000
GAZP;60;20180209;180000;134.7100000;136.4500000;134.7100000;136.4000000
GAZP;60;20180209;190000;136.4000000;136.7000000;135.5000000;135.5600000
GAZP;60;20180212;110000;136.8700000;137.4700000;136.3100000;136.6800000
GAZP;60;20180212;120000;136.6800000;137.1000000;136.0300000;136.5900000
GAZP;60;20180212;130000;136.5900000;137.6000000;136.1300000;137.1100000
GAZP;60;20180212;140000;137.0900000;137.2200000;136.5100000;136.8200000
GAZP;60;20180212;150000;136.8200000;137.1500000;136.3700000;137.1000000
GAZP;60;20180212;160000;137.1000000;137.8400000;136.8400000;137.6800000
GAZP;60;20180212;170000;137.6800000;138.1000000;137.4700000;137.7000000
GAZP;60;20180212;180000;137.7000000;137.9300000;137.1800000;137.7100000
GAZP;60;20180212;190000;137.6800000;138.1000000;137.3000000;137.3000000
GAZP;60;20180213;110000;138.0000000;138.8300000;137.4500000;137.5500000
GAZP;60;20180213;120000;137.4800000;139.7300000;137.4700000;139.1900000
GAZP;60;20180213;130000;139.1900000;139.5600000;138.6100000;139.1800000
GAZP;60;20180213;140000;139.1900000;139.3900000;138.7900000;139.3200000
GAZP;60;20180213;150000;139.2900000;139.4000000;138.7500000;138.8600000
GAZP;60;20180213;160000;138.9100000;139.9400000;138.7600000;139.3200000
GAZP;60;20180213;170000;139.3300000;139.7100000;139.0800000;139.2700000
GAZP;60;20180213;180000;139.3100000;139.8400000;139.0400000;139.8400000
GAZP;60;20180213;190000;139.8000000;140.1000000;139.1700000;139.8500000
GAZP;60;20180214;110000;140.0300000;140.5700000;139.9000000;140.4700000
GAZP;60;20180214;120000;140.3800000;140.4900000;139.3000000;139.6700000
GAZP;60;20180214;130000;139.6100000;139.6300000;138.5600000;138.8500000
GAZP;60;20180214;140000;138.8500000;139.2900000;138.7700000;138.7900000
GAZP;60;20180214;150000;138.7900000;138.9100000;138.0700000;138.5300000
GAZP;60;20180214;160000;138.5300000;139.3800000;138.2600000;139.0700000
GAZP;60;20180214;170000;139.0800000;139.1500000;137.3200000;137.6500000
GAZP;60;20180214;180000;137.6500000;137.9600000;137.0200000;137.8500000
GAZP;60;20180214;190000;137.8500000;138.8900000;137.6300000;138.8900000
GAZP;60;20180215;110000;139.7900000;140.9900000;139.5100000;139.9000000
GAZP;60;20180215;120000;139.9400000;140.1300000;138.5000000;139.0000000
GAZP;60;20180215;130000;139.0000000;139.2300000;138.2100000;138.4100000
GAZP;60;20180215;140000;138.4500000;138.8400000;138.1100000;138.6300000
GAZP;60;20180215;150000;138.5400000;139.2600000;138.3800000;138.9300000
GAZP;60;20180215;160000;138.9800000;139.0800000;138.3000000;138.5800000
GAZP;60;20180215;170000;138.5700000;138.7900000;137.5500000;137.9900000
GAZP;60;20180215;180000;137.9700000;138.2800000;137.3300000;138.0600000
GAZP;60;20180215;190000;138.0400000;138.1700000;137.0600000;137.0600000
GAZP;60;20180216;110000;137.8500000;138.1900000;136.7700000;137.2000000
GAZP;60;20180216;120000;137.1900000;138.6500000;137.0700000;137.9200000
GAZP;60;20180216;130000;137.9600000;139.0000000;137.7800000;138.7400000
GAZP;60;20180216;140000;138.7600000;139.4900000;138.7100000;138.9000000
GAZP;60;20180216;150000;138.9000000;139.3400000;138.6500000;138.8300000
GAZP;60;20180216;160000;138.8100000;138.9600000;138.2100000;138.5700000
GAZP;60;20180216;170000;138.6300000;138.6300000;137.0000000;137.4600000
GAZP;60;20180216;180000;137.4500000;137.8900000;137.0000000;137.5000000
GAZP;60;20180216;190000;137.5500000;137.8800000;136.9000000;137.0600000
GAZP;60;20180219;110000;137.3600000;138.2000000;137.1300000;138.0600000
GAZP;60;20180219;120000;138.0600000;138.0900000;137.6300000;137.9300000
GAZP;60;20180219;130000;137.9300000;137.9300000;137.4700000;137.8000000
GAZP;60;20180219;140000;137.8000000;138.1400000;137.7000000;138.0300000
GAZP;60;20180219;150000;138.0300000;138.4800000;138.0200000;138.3400000
GAZP;60;20180219;160000;138.3400000;138.7000000;138.1800000;138.3500000
GAZP;60;20180219;170000;138.3700000;138.5900000;138.1000000;138.4400000
GAZP;60;20180219;180000;138.4400000;138.6000000;138.0000000;138.3600000
GAZP;60;20180219;190000;138.3600000;138.5000000;137.9600000;138.3100000
GAZP;60;20180220;110000;138.7800000;144.2900000;138.7800000;143.2500000
GAZP;60;20180220;120000;143.2500000;143.5500000;142.0000000;142.1800000
GAZP;60;20180220;130000;142.2100000;142.5900000;141.8100000;141.8200000
GAZP;60;20180220;140000;141.8300000;142.0600000;141.2600000;141.4600000
GAZP;60;20180220;150000;141.4800000;142.2000000;140.3200000;141.8200000
GAZP;60;20180220;160000;141.7800000;141.9000000;141.2500000;141.7200000
GAZP;60;20180220;170000;141.7200000;142.0800000;141.5100000;142.0400000
GAZP;60;20180220;180000;142.0100000;142.2400000;141.6000000;141.8000000
GAZP;60;20180220;190000;141.8000000;141.8600000;140.7200000;141.3200000
GAZP;60;20180221;110000;140.9000000;141.7100000;140.5300000;140.7400000
GAZP;60;20180221;120000;140.7500000;142.0600000;140.7500000;141.1600000
GAZP;60;20180221;130000;141.1800000;141.8200000;141.0800000;141.4900000
GAZP;60;20180221;140000;141.5000000;142.8000000;141.4900000;142.7100000
GAZP;60;20180221;150000;142.7400000;142.8800000;142.2800000;142.6500000
GAZP;60;20180221;160000;142.6500000;142.9100000;141.6700000;142.1000000
GAZP;60;20180221;170000;142.1500000;143.2400000;141.9400000;142.7500000
